date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Sat, 9 Nov",San Antonio,L76-74,4-2,Bogut  13,Bogut  5,2013/2014,Douglas,21
"Sun, 10 Nov",Memphis,L108-90,4-3,Lee  9,Curry  5,2013/2014,Curry,22
"Wed, 13 Nov",Detroit,W113-95,5-3,Lee  9,Iguodala  11,2013/2014,Curry,25
"Fri, 15 Nov",Oklahoma City,W116-115,6-3,Bogut  7,Curry  9,2013/2014,Thompson,27
"Sun, 17 Nov",Utah,W102-88,7-3,Bogut  11,Curry  11,2013/2014,Thompson,25
"Tue, 19 Nov",Utah,W98-87,8-3,Lee  14,Curry  8,2013/2014,Curry,22
"Thu, 21 Nov",Memphis,L88-81 OT,8-4,Bogut  14,Iguodala  14,2013/2014,Thompson,21
"Sat, 23 Nov",Los Angeles,L102-95,8-5,Lee  13,Iguodala  6,2013/2014,Lee,21
"Sun, 24 Nov",Portland,L113-101,8-6,Lee  12,Curry  11,2013/2014,Thompson,30
"Wed, 27 Nov",New Orleans,W102-101,9-6,O'Neal  8,Curry  9,2013/2014,Thompson,22
"Thu, 28 Nov",Dallas,L103-99,9-7,Lee  12,Curry  8,2013/2014,Curry,29
"Sat, 30 Nov",Oklahoma City,L113-112 OT,9-8,Lee  12,Curry  5,2013/2014,Curry,32
"Sun, 1 Dec",Sacramento,W115-113,10-8,Bogut  12,Curry  10,2013/2014,Curry,36
"Wed, 4 Dec",Toronto,W112-103,11-8,Lee  8,Curry  10,2013/2014,Curry,27
"Sat, 7 Dec",Houston,L105-83,11-9,Green  8,Curry  5,2013/2014,Curry,22
"Sun, 8 Dec",Memphis,W108-82,12-9,Bogut  12,Curry  15,2013/2014,Thompson,30
"Tue, 10 Dec",Charlotte,L115-111,12-10,Lee  16,Curry  9,2013/2014,Curry,43
"Thu, 12 Dec",Dallas,W95-93,13-10,Bogut  18,Curry  10,2013/2014,Curry,33
"Sat, 14 Dec",Houston,L116-112,13-11,Barnes  12,Curry  9,2013/2014,Lee,23
"Mon, 16 Dec",Phoenix,L106-102,13-12,Bogut  14,Curry  7,2013/2014,Curry,30
"Wed, 18 Dec",New Orleans,W104-93,14-12,Lee  17,Curry  11,2013/2014,Curry,28
"Fri, 20 Dec",San Antonio,L104-102,14-13,Bogut  18,Curry  15,2013/2014,Lee,32
"Sun, 22 Dec",Los Angeles,W102-83,15-13,Bogut  20,Curry  10,2013/2014,Lee,19
